year,rcpt,std
2004,MUS,24790.199999999997
2004,MWI,54484596.87000001
2004,MYS,70050.9
2004,NAM,24090272.899999995
2004,NER,6206689.2
2004,NGA,72025271.4
2004,NIC,11166875.9
2004,NPL,16606966.25
2004,PAK,8127035.5
2004,PAN,0.0
2004,PER,5850392.100000001
2004,PHL,18722867.800000004
2004,PNG,10632735.690000001
2004,PRK,0.0
2004,PRY,154037.5
2004,PSE,0.0
2004,RWA,41121682.25499999
2004,SDN,2342592.51
2004,SEN,14202359.799999999
2004,SLB,0.0
2004,SLE,1287278.0
2004,SLV,5471584.9
2004,SOM,474734.4
2004,SRB,1142932.2
2004,STP,20922.199999999997
2004,SWZ,4264418.800000001
2004,SYC,0.0
2004,SYR,0.0
2004,TCD,5697176.1
2004,TGO,5335007.500000002
2004,THA,28261542.970000003
2004,TJK,3104018.0000000005
2004,TKM,49229.549999999996
2004,TLS,180394.0
2004,TTO,705225.2
2004,TUN,0.0
2004,TUR,0.0
2004,TZA,79389102.91999999
2004,UGA,115651267.25999999
2004,URY,0.0
2004,UZB,887144.52
2004,VCT,0.0
2004,VEN,49360.9
2004,VNM,12190682.419999996
2004,VUT,0.0
2004,YEM,433094.0
2004,ZAF,83669662.46999998
2004,ZMB,85950351.22899997
2004,ZWE,22928704.849999994
2005,AFG,36633.1
2005,AGO,25003414.01
2005,ALB,896625.2999999999
2005,ARG,3657544.7000000007
2005,ARM,3120152.55
2005,AZE,1165419.1000000006
2005,BDI,12126293.340000002
2005,BEN,13560225.3
2005,BFA,15914967.431000002
2005,BGD,18394709.580000002
2005,BIH,307857.0
2005,BLR,3460438.8400000003
2005,BLZ,226690.0
2005,BOL,714006.0
2005,BRA,42911636.55
2005,BRB,545750.0000000001
2005,BTN,331078.0
2005,BWA,17838212.05
2005,CAF,5961162.959999999
2005,CHL,9306428.8
2005,CHN,43092506.089999996
2005,CIV,25165435.4
2005,CMR,10789538.547000004
2005,COD,33211352.840000004
2005,COG,4921142.6
2005,COK,178245.38
2005,COL,2629569.2000000007
2005,COM,89482.0
2005,CPV,1466751.2
2005,CRI,519088.89999999997
2005,CUB,4045276.4000000004
2005,DJI,4315828.95
2005,DOM,13462029.808999995
2005,DZA,1086925.0
2005,ECU,2568840.34
2005,EGY,604083.0
2005,ERI,13025030.0
2005,ETH,116092207.28
2005,FJI,379527.2699999999
2005,FSM,4570.38
2005,GAB,708747.0
2005,GEO,3799560.0
2005,GHA,32098751.4
2005,GIN,10191581.900000004
2005,GMB,7617283.0
